society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
emaar mgf the palm drive,3.0,sector 66,1809.0,16584.0,Super Built up area 2200(204.39 sq.m.),3,4,3+,2.0,South-East,Moderately Old,,2200.0,,,0,1,0,0,0,2,123,5528.0
imperia the esfera,0.08,sector 37c,551.0,1451.0,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),2,3,3+,5.0,North-West,Relatively New,,1578.0,1300.0,1110.0,1,0,0,0,0,1,109,725.5
bptp astaire gardens,0.09,sector 70a,659.0,1366.0,Super Built up area 1480(137.5 sq.m.),3,3,3+,1.0,West,Relatively New,,1480.0,,,0,0,0,0,1,1,149,455.3333333333333
independent,10.55,sector 50,32562.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,,Moderately Old,house,,3240.0,,1,1,0,0,0,1,42,648.0
hcbs sports ville,0.03,sector 2,437.0,686.0,Built Up area: 800 (74.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,8.0,East,Relatively New,,,800.0,600.0,0,0,0,0,0,1,37,343.0
ashok vihar phase 2,0.02,sector 3 phase 2,431.0,464.0,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,3.0,North,Relatively New,,650.0,,550.0,0,0,0,0,0,1,64,232.0
tulip violet,1.0,sector 69,884.0,11311.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,North-West,Relatively New,,1538.0,,,0,0,0,1,0,1,86,3770.3333333333335
m3m merlin,3.0,sector 67,1438.0,20868.0,Super Built up area 2358(219.07 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3,14.0,East,Relatively New,,2358.0,2100.0,2000.0,0,1,0,0,0,2,26,6956.0
puri emerald bay,2.0,sector 104,1501.0,13327.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 1765.73 sq.ft. (164.04 sq.m.),3,4,3,15.0,North-East,Relatively New,,2450.0,,1765.73,0,1,0,0,0,2,174,4442.333333333333
vipul world floors,4.0,sector 48,1387.0,28839.0,Carpet area: 3100 (288 sq.m.),4,5,3+,4.0,East,New Property,,,,3100.0,1,1,0,1,0,1,88,7209.75
city shri ram apartments 1,0.02,sector 110,366.0,546.0,Super Built up area 600(55.74 sq.m.),2,1,1,1.0,,Relatively New,,600.0,,,0,0,0,0,0,1,0,273.0
ss the leaf,2.0,sector 85,872.0,22936.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3+,6.0,North,Relatively New,,2408.0,,1685.0,0,1,0,0,0,1,156,7645.333333333333
ireo victory valley,2.0,sector 67,1211.0,16515.0,Super Built up area 2436(226.31 sq.m.)Built Up area: 2236 sq.ft. (207.73 sq.m.)Carpet area: 2036 sq.ft. (189.15 sq.m.),3,3,3+,14.0,South,Moderately Old,,2436.0,2236.0,2036.0,0,1,0,1,0,2,165,5505.0
tulip violet,1.0,sector 69,892.0,11211.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,East,Relatively New,,1568.0,,,0,0,0,1,0,1,86,3737.0
m3m the marina,1.0,sector 68,810.0,12353.0,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,11.0,North-East,Relatively New,,1260.0,1250.0,800.0,0,0,0,0,1,2,49,6176.5
deepak minda,1.0,manesar,453.0,22085.0,Carpet area: 2650 (246.19 sq.m.),3,3,3+,6.0,North-West,Moderately Old,,,,2650.0,0,1,0,0,0,1,7,7361.666666666667
tata gurgaon gateway,2.0,sector 113,1079.0,18543.0,Super Built up area 2225(206.71 sq.m.),3,3,3,8.0,North,Relatively New,,2225.0,,,0,0,0,0,0,1,110,6181.0
m3m woodshire,1.0,sector 107,665.0,15040.0,Super Built up area 1534(142.51 sq.m.),2,2,3,6.0,North-East,Relatively New,,1534.0,,,1,0,0,0,0,1,112,7520.0
the lions cghs,1.0,sector 56,1105.0,9046.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3+,4.0,East,Old Property,,2400.0,2000.0,1800.0,0,0,0,1,1,2,105,2261.5
indiabulls centrum park,1.0,sector 103,843.0,11860.0,Super Built up area 1423(132.2 sq.m.),2,2,3,3.0,North-East,Moderately Old,,1423.0,,,0,0,0,0,0,1,26,5930.0
ireo victory valley,3.0,sector 67,1300.0,23077.0,Carpet area: 2452 (227.8 sq.m.),3,3,3,19.0,South-East,Relatively New,,,,2452.0,0,1,0,0,0,1,103,7692.333333333333
bestech park view sanskruti,1.0,sector 92,1105.0,9048.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1520 sq.ft. (141.21 sq.m.),3,4,3+,15.0,East,Relatively New,,2120.0,,1520.0,0,1,0,0,0,2,174,3016.0
signature global rosellia,0.04,sector 95,875.0,457.0,Carpet area: 514 (47.75 sq.m.),2,2,2,14.0,,New Property,,,,514.0,0,0,0,0,0,1,24,228.5
unitech sunbreeze,0.07,sector 69,685.0,1022.0,Super Built up area 1095(101.73 sq.m.),2,2,2,4.0,,Under Construction,,1095.0,,,0,0,0,0,0,1,0,511.0
emaar mgf emerald floors premier,2.0,sector 65,1364.0,14667.0,Super Built up area 1650(153.29 sq.m.),3,3,3+,3.0,South,Relatively New,,1650.0,,,1,1,0,0,0,1,152,4889.0
sobha city,3.0,sector 108,1327.0,22614.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,,New Property,,2072.9,,,0,0,0,0,0,1,102,7538.0
supertech araville,0.08,sector 79,618.0,1295.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,9.0,,New Property,,1295.0,,,0,0,0,0,1,1,24,647.5
tulip white,0.09,sector 69,600.0,1500.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1326 sq.ft. (123.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,2,3+,1.0,West,Relatively New,,1500.0,1326.0,1050.0,0,0,0,0,0,2,149,500.0
emaar mgf emerald floors premier,2.0,sector 65,1636.0,12223.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North-West,Relatively New,,,,1650.0,0,1,1,0,0,2,108,4074.3333333333335
independent,2.35,sector 4,16319.0,1440.0,Plot area 160(133.78 sq.m.),4,4,2,2.0,East,Old Property,house,,1440.0,,0,0,0,1,0,1,43,360.0
imperia the esfera,0.09,sector 37c,627.0,1435.0,Built Up area: 1435 (133.32 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,3,9.0,East,Undefined,,,1435.0,1100.0,0,0,0,0,0,1,66,478.3333333333333
godrej,1.0,sector 79,852.0,11732.0,Super Built up area 1572(146.04 sq.m.),3,3,3,7.0,East,Relatively New,,1572.0,,,0,0,0,0,0,1,158,3910.6666666666665
sare crescent parc,0.09,sector 92,426.0,2113.0,Super Built up area 1995(185.34 sq.m.),4,5,3+,3.0,,Relatively New,,1995.0,,,0,1,0,0,0,1,0,528.25
breez global hill view,0.02,sohna road,541.0,370.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,New Property,,655.0,,555.0,0,0,0,0,0,1,109,185.0
independent,1.1,sector 9,6111.0,1800.0,Plot area 200(18.58 sq.m.),4,3,1,2.0,North-East,Old Property,house,,200.0,,0,0,0,0,0,1,0,450.0
shree vardhman flora,0.09,sector 90,462.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,4.0,South-West,Relatively New,,1950.0,,,0,1,0,0,0,1,165,650.0
viridian the plaza 106,0.04,sector 106,657.0,609.0,Carpet area: 700 (65.03 sq.m.),1,1,1,18.0,,New Property,,,,700.0,0,0,0,0,0,1,104,609.0
sbtl caladium,1.0,sector 109,640.0,15615.0,Super Built up area 2545(236.44 sq.m.),3,3,2,8.0,North-West,Relatively New,,2545.0,,,0,1,0,0,0,1,159,5205.0
m3m merlin,2.0,sector 67,1367.0,14630.0,Super Built up area 2048(190.27 sq.m.),3,3,3,2.0,East,Relatively New,,2048.0,,,0,0,1,0,0,0,174,4876.666666666667
krrish provence estate,5.0,gwal pahari,948.0,52731.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11.0,East,New Property,,5800.0,,,1,1,0,1,0,1,151,13182.75
pareena laxmi apartments,0.03,sector 99a,579.0,518.0,Super Built up area 553(51.38 sq.m.)Carpet area: 453.5 sq.ft. (42.13 sq.m.),2,2,2,11.0,,New Property,,553.0,,453.5,0,0,0,0,0,1,66,259.0
independent,3.5,sector 5,15556.0,2250.0,Plot area 2050(190.45 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.),6,5,2,3.0,North-East,Old Property,house,,2250.0,,1,1,0,1,1,0,155,375.0
sapphire eighty three,0.04,sector 83,855.0,468.0,Carpet area: 468 (43.48 sq.m.),1,1,1,6.0,North-East,Relatively New,,,,468.0,0,0,0,0,0,0,52,468.0
dlf regal gardens,1.0,sector 90,551.0,18165.0,Super Built up area 1726(160.35 sq.m.),3,3,2,11.0,South-East,Relatively New,,1726.0,,,0,0,0,0,1,1,88,6055.0
independent,3.1,sector 7,13778.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,North-West,Old Property,house,,2250.0,,0,0,0,0,0,1,22,750.0
ild grand,1.0,sector 37c,659.0,15168.0,Super Built up area 1820(169.08 sq.m.),3,3,3,7.0,,Under Construction,,1820.0,,,0,0,0,0,0,1,24,5056.0
godrej nature plus,1.0,sector 33,1566.0,6384.0,Built Up area: 118 Carpet area: 86 sq.m.,3,2,3+,20.0,,Under Construction,,,118.0,86.0,1,0,0,0,0,1,144,2128.0
mapsko casa bella,1.0,sector 82,638.0,15681.0,Super Built up area 1960(182.09 sq.m.),3,4,3+,8.0,,Under Construction,,1960.0,,,0,0,0,0,0,1,54,5227.0
pioneer park,2.0,sector 61,1176.0,17001.0,Super Built up area 1700(157.94 sq.m.),3,3,3,24.0,North-West,Moderately Old,,1700.0,,,0,0,0,0,0,2,75,5667.0
whiteland blissville,1.0,sector 76,1150.0,8696.0,Built Up area: 1672 (155.33 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),3,3,2,2.0,,Undefined,,,1672.0,940.0,0,0,0,0,0,1,61,2898.6666666666665
la vida by tata housing,2.0,sector 113,1105.0,18100.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1680 sq.ft. (156.08 sq.m.),3,3,3+,3.0,North-East,Relatively New,,2217.0,1890.0,1680.0,1,0,0,0,0,1,174,6033.333333333333
capital residences 360,1.0,sector 70a,814.0,12290.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,7.0,East,New Property,,1450.0,1400.0,1000.0,0,0,0,1,0,1,140,6145.0
independent,4.5,sector 13,9091.0,4950.0,Plot area 550(459.87 sq.m.),4,5,2,2.0,East,Old Property,house,,4950.0,,0,0,0,0,0,1,0,1237.5
smart world gems,1.0,sector 89,815.0,12268.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,South-East,Under Construction,,,,1423.0,1,0,0,0,0,1,68,4089.3333333333335
m3m heights,2.0,sector 65,1361.0,14697.0,Carpet area: 1433 (133.13 sq.m.),2,2,3,5.0,,Under Construction,,,,1433.0,0,0,0,0,0,1,48,7348.5
suncity platinum towers,6.0,sector 28,2235.0,26850.0,Carpet area: 2685 (249.44 sq.m.),3,3,2,8.0,South-East,Moderately Old,,,,2685.0,0,1,0,0,0,1,31,8950.0
elan the presidential,3.0,sector 106,1592.0,18847.0,Built Up area: 2450 (227.61 sq.m.),3,3,0,20.0,,Undefined,,,2450.0,,0,0,0,0,0,1,66,6282.333333333333
unitech harmony,2.0,sector 50,959.0,20855.0,Super Built up area 2711(251.86 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,15.0,North-East,Relatively New,,2711.0,2700.0,2200.0,0,1,0,0,1,2,174,6951.666666666667
vatika city,1.0,sector 49,862.0,11598.0,Carpet area: 1960 (182.09 sq.m.),3,3,3,3.0,North,Moderately Old,,,,1960.0,0,0,0,1,0,1,136,3866.0
raheja navodaya,1.0,sector 92,468.0,21363.0,Built Up area: 2350 (218.32 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,2,3,0.0,East,Undefined,,,2350.0,1850.0,0,0,0,0,0,1,0,7121.0
suncity platinum towers,7.0,sector 28,2222.0,31500.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,10.0,North,Moderately Old,,3150.0,,1913.0,0,1,0,0,0,1,31,7875.0
independent,5.25,sector 47,11667.0,4500.0,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,East,Relatively New,house,,4650.0,4500.0,0,1,0,0,0,2,142,500.0
emaar mgf emerald floors premier,2.0,sector 65,1424.0,14043.0,Super Built up area 1650(153.29 sq.m.),3,3,3,2.0,West,Relatively New,,1650.0,,,1,1,0,0,0,2,168,4681.0
dlf city phase 1,5.5,sector 26,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately Old,house,,1800.0,,1,1,0,1,0,1,69,450.0
unitech aspen greens,7.0,sector 50,32407.0,2160.0,Plot area 240(200.67 sq.m.),4,4,2,2.0,East,Old Property,house,,2160.0,,0,1,0,0,0,1,29,540.0
emaar digihomes,4.0,sector 62,2656.0,15059.0,Carpet area: 1600 (148.64 sq.m.),3,3,3,8.0,,Under Construction,,,,1600.0,1,0,0,0,0,1,16,5019.666666666667
dlf city plots phase 2,6.5,sector 25,36111.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,house,,1800.0,,1,1,1,1,0,2,134,360.0
jacobpura,0.53,sector 12,14601.0,363.0,Plot area 360(33.45 sq.m.),4,4,2,3.0,East,Relatively New,house,,360.0,,0,0,0,0,0,1,0,90.75
central park flower valley aqua front towers,1.0,sector 33,945.0,10583.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1590 sq.ft. (147.72 sq.m.),3,3,3+,5.0,East,New Property,,1799.0,,1590.0,0,0,0,0,0,2,44,3527.6666666666665
independent,0.45,sector 104,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,4.0,North,Moderately Old,house,,,1500.0,0,0,0,0,0,2,7,92.5
millenia,0.04,sector 37c,667.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,4.0,East,New Property,,,,600.0,0,0,0,0,0,1,29,300.0
paras dews,1.0,sector 106,1106.0,9041.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,7.0,South-East,Relatively New,,1760.0,1186.0,1130.0,1,1,0,0,0,1,167,3013.6666666666665
signature global solera,0.02,sector 107,593.0,337.0,Carpet area: 489 (45.43 sq.m.),2,2,2,3.0,East,Relatively New,,,,489.0,0,0,0,0,0,1,45,168.5
mvn athens,0.02,sohna road,519.0,385.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3.0,East,Relatively New,,,,481.73,0,0,0,0,0,1,51,192.5
pivotal riddhi siddhi,0.04,sector 99,444.0,900.0,Super Built up area 900(83.61 sq.m.)Carpet area: 587 sq.ft. (54.53 sq.m.),2,2,2,9.0,,New Property,,900.0,,587.0,0,0,0,0,0,1,60,450.0
tarc maceo,0.09,sector 91,687.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,13.0,East,Relatively New,,1310.0,,,0,0,0,0,0,0,67,655.0
shree arihant apartment,1.0,sector 54,811.0,12333.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,4.0,West,Moderately Old,,1850.0,1700.0,1550.0,0,0,0,1,0,2,75,4111.0
signature global solera,0.02,sector 107,573.0,349.0,Carpet area: 489 (45.43 sq.m.),2,2,2,10.0,South,Relatively New,,,,489.0,0,0,0,0,0,1,38,174.5
smart world gems,1.0,sector 89,913.0,10947.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,2.0,,New Property,,,,1423.0,1,0,0,0,0,1,44,3649.0
residency grand,5.0,sector 52,962.0,52002.0,Built Up area: 5200 (483.1 sq.m.),5,5,3+,2.0,East,Undefined,,,5200.0,,0,0,0,0,0,1,0,10400.4
whiteland blissville,1.0,sector 76,1179.0,8479.0,Built Up area: 1628 (151.25 sq.m.),3,3,2,3.0,,Undefined,,,1628.0,,0,0,0,0,0,1,61,2826.3333333333335
vatika the seven lamps,0.08,sector 82,654.0,1224.0,Super Built up area 1300(120.77 sq.m.),2,2,2,0.0,East,Relatively New,,1300.0,,,0,0,0,0,0,2,49,612.0
independent,2.1,sector 70a,3889.0,5400.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,,New Property,house,,,600.0,0,0,0,0,0,1,0,1800.0
independent,19.5,sector 2,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,house,,7200.0,,1,1,0,1,0,1,122,900.0
ss the leaf,1.0,sector 85,768.0,13017.0,Super Built up area 2408(223.71 sq.m.),3,4,3,2.0,North,Relatively New,,2408.0,,,1,1,0,0,0,2,49,4339.0
experion windchants,9.5,sector 112,23457.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 7450 sq.yards (6229.15 sq.m.),5,5,3,2.0,,Relatively New,house,,7450.0,,0,1,0,0,0,1,45,810.0
smart world gems,1.0,sector 89,997.0,10028.0,Built Up area: 1103 (102.47 sq.m.),3,1,0,0.0,,Undefined,,,1103.0,,0,0,0,0,0,1,45,3342.6666666666665
ansal sushant lok plots,3.3,sector 43,26570.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,,,Under Construction,house,,1242.0,,0,0,0,0,0,1,0,1242.0
tulip violet,3.0,sector 69,982.0,30544.0,Super Built up area 3156(293.2 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,6,3+,14.0,North,Relatively New,,3156.0,,2500.0,0,1,0,1,0,1,174,7636.0
conscient heritage max,2.0,sector 102,1024.0,19537.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,9.0,South-East,Moderately Old,,2149.0,,,1,1,0,0,0,1,125,6512.333333333333
tulip violet,1.0,sector 69,835.0,11979.0,Super Built up area 2010(186.74 sq.m.),4,4,2,1.0,South-West,Relatively New,,2010.0,,,0,0,0,1,0,1,102,2994.75
signature global park,0.08,sohna road,741.0,1080.0,Carpet area: 1120 (104.05 sq.m.),3,2,2,1.0,,New Property,,,,1120.0,0,0,0,0,0,1,16,360.0
vipul tatvam villa,8.5,sector 48,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,1,,,Relatively New,house,,3240.0,,0,0,0,0,0,1,21,810.0
ansal heights 86,0.09,sector 86,562.0,1601.0,Carpet area: 1690 (157.01 sq.m.),3,2,1,6.0,,New Property,,,,1690.0,0,0,0,0,0,1,15,533.6666666666666
ss the leaf,1.0,sector 85,1197.0,8357.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1263 sq.ft. (117.34 sq.m.)Carpet area: 961 sq.ft. (89.28 sq.m.),2,2,3,20.0,North-East,Relatively New,,1741.0,1263.0,961.0,0,0,0,1,0,1,107,4178.5
sare crescent parc,0.09,sector 92,501.0,1795.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,5,3+,13.0,North,Undefined,,,1895.0,1500.0,0,0,0,0,0,1,0,448.75
emaar palm gardens,1.0,sector 83,1187.0,8426.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3,3,3,16.0,North,Relatively New,,1720.0,,1095.3,0,1,0,0,0,2,174,2808.6666666666665
m3m merlin,3.0,sector 67,1442.0,20807.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,15.0,South,Relatively New,,2358.0,,1900.0,0,1,0,0,0,2,110,6935.666666666667
m3m skywalk,1.0,sector 74,1081.0,9247.0,Super Built up area 1424(132.29 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1139 sq.ft. (105.82 sq.m.),2,2,3+,15.0,South-East,Relatively New,,1424.0,1200.0,1139.0,0,0,0,0,1,1,137,4623.5
independent,7.5,sector 14,16600.0,4518.0,Plot area 502(419.74 sq.m.),3,3,2,1.0,West,Old Property,house,,4518.0,,1,1,0,1,0,2,27,1506.0
independent,0.74,sector 105,7400.0,1000.0,Built Up area: 1000 (92.9 sq.m.),3,3,0,2.0,,Undefined,house,,1000.0,,0,0,0,0,0,1,0,333.3333333333333
experion windchants,2.0,sector 112,1147.0,17437.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,3,2,9.0,South-East,Relatively New,,2441.0,1939.03,1800.0,1,1,0,0,0,1,137,8718.5
la vida by tata housing,2.0,sector 113,1636.0,12223.0,Built Up area: 2217 (205.97 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,4,3+,4.0,North-West,Relatively New,,,2217.0,1650.0,0,1,0,0,0,2,49,4074.3333333333335
indiabulls centrum park,2.0,sector 103,852.0,23471.0,Super Built up area 2875(267.1 sq.m.),4,6,3,5.0,,Relatively New,,2875.0,,,0,1,0,0,0,1,38,5867.75
la vida by tata housing,1.0,sector 113,1045.0,9570.0,Super Built up area 1579(146.69 sq.m.)Built Up area: 1420 sq.ft. (131.92 sq.m.)Carpet area: 1220 sq.ft. (113.34 sq.m.),3,2,2,3.0,North-East,Relatively New,,1579.0,1420.0,1220.0,0,0,0,0,0,1,49,3190.0
dlf city plots phase 3,6.0,sector 24,1857.0,32308.0,Carpet area: 3500 (325.16 sq.m.),4,5,3+,3.0,North-East,New Property,,,,3500.0,0,1,0,0,0,0,42,8077.0
dlf the ultima,2.0,sector 81,1070.0,18693.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,11.0,North-East,Relatively New,,2103.0,1600.0,1257.0,1,1,0,1,1,0,49,6231.0
signature the roselia,0.04,sector 95,791.0,506.0,Carpet area: 569 (52.86 sq.m.),2,2,2,2.0,East,New Property,,,,569.0,0,0,0,0,0,2,31,253.0
signature global synera,0.04,sector 81,632.0,633.0,Super Built up area 633(58.81 sq.m.)Carpet area: 539 sq.ft. (50.07 sq.m.),2,2,1,12.0,South,Relatively New,,633.0,,539.0,0,0,0,0,0,2,23,316.5
sobha city,3.0,sector 108,1494.0,20083.0,Super Built up area 2343(217.67 sq.m.),3,3,2,16.0,North-East,New Property,,2343.0,,,0,1,0,0,0,1,77,6694.333333333333
independent,8.25,sector 43,30556.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3+,3.0,West,Moderately Old,house,,2700.0,,1,1,1,1,0,2,64,540.0
bptp pedestal,0.92,sector 70a,7751.0,1187.0,Carpet area: 1187 (110.28 sq.m.),2,3,3+,3.0,North-East,New Property,house,,,1187.0,0,0,0,0,1,1,153,593.5
paras irene,1.0,sector 70a,922.0,10847.0,Super Built up area 1420(131.92 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),2,2,3,19.0,,Moderately Old,,1420.0,,1410.0,0,0,0,0,0,2,49,5423.5
ireo skyon,2.0,sector 60,2334.0,8568.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2,3,2,5.0,East,Relatively New,,1524.0,1250.0,921.0,0,1,0,0,0,2,49,4284.0
parsvnath green ville,1.0,sector 48,765.0,13065.0,Super Built up area 2430(225.75 sq.m.),3,3,3+,6.0,North,Moderately Old,,2430.0,,,0,1,0,0,0,2,94,4355.0
hcbs sports ville,0.03,sohna road,507.0,592.0,Built Up area: 750 (69.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,2,9.0,East,Undefined,,,750.0,650.0,0,0,0,0,0,1,0,296.0
unitech palms south city 1,9.35,sector 41,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately Old,house,,7500.0,6000.0,1,1,0,0,0,2,70,324.0
experion windchants,2.0,sector 112,1065.0,18778.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.),2,2,3,8.0,North-East,Relatively New,,2441.0,1939.03,,0,0,0,0,0,1,168,9389.0
la lagune,6.0,sector 54,2136.0,28090.0,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,6,3+,11.0,East,Moderately Old,,3160.0,2455.0,2240.0,0,1,0,0,0,2,119,7022.5
shree vardhman flora,0.06,sector 90,492.0,1219.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6.0,East,Old Property,,1300.0,,1100.0,1,0,0,0,0,1,103,609.5
independent,5.6,sector 55,20741.0,2700.0,Plot area 300(250.84 sq.m.),6,4,3,3.0,East,Old Property,house,,2700.0,,0,1,0,0,0,2,41,450.0
ss the leaf,1.0,sector 85,793.0,12617.0,Super Built up area 1640(152.36 sq.m.),2,2,2,17.0,,New Property,,1640.0,,,0,0,0,0,0,1,90,6308.5
dlf the primus,2.0,sector 82a,1052.0,19019.0,Super Built up area 2092(194.35 sq.m.),3,3,3+,16.0,North-East,Relatively New,,2092.0,,,0,1,0,0,0,0,174,6339.666666666667
vatika xpressions,0.09,sector 88b,681.0,1321.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1120 sq.ft. (104.05 sq.m.),2,2,3,3.0,,New Property,,,1350.0,1120.0,0,0,0,0,0,1,26,660.5
dlf the skycourt,1.0,sector 86,809.0,12366.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,4,3+,17.0,South-West,Relatively New,,1929.0,1580.0,1450.0,0,0,1,0,0,1,174,4122.0
independent,20.0,sector 26,44444.0,4500.0,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively New,house,,4500.0,,0,1,0,1,0,0,97,900.0
dlf regal gardens,1.0,sector 90,722.0,13845.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,15.0,North-West,Moderately Old,,2215.0,,,0,1,0,0,0,1,38,3461.25
not applicable,0.51,sector 4,14167.0,360.0,Plot area 40(33.45 sq.m.),4,4,3,4.0,,New Property,house,,360.0,,0,0,0,0,0,1,0,90.0
