society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
orris carnation residency,0.07,sector 85,486.0,1441.0,Super Built up area 1645(152.83 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1275 sq.ft. (118.45 sq.m.),3,4,3,4.0,West,Relatively New,,1645.0,1390.0,1275.0,0,1,0,0,0,2,40,480.3333333333333
hcbs sports ville,0.02,sohna road,435.0,460.0,Built Up area: 619 (57.51 sq.m.),2,2,2,10.0,,Relatively New,,,619.0,,0,0,0,0,0,1,43,230.0
prime habitat,0.02,sector 99a,543.0,368.0,Carpet area: 497 (46.17 sq.m.),2,2,1,4.0,North-East,New Property,,,,497.0,0,0,0,0,0,1,7,184.0
shapoorji pallonji joyville gurugram,2.0,sector 102,1696.0,11792.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,Relatively New,,,1852.0,1250.0,0,0,0,0,0,1,72,3930.6666666666665
paras dews,1.0,sector 106,742.0,13479.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,11.0,North-East,Relatively New,,1760.0,1650.0,1550.0,0,1,0,1,0,2,174,4493.0
independent,7.0,sector 82,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,1.0,North-East,Relatively New,house,,3240.0,,1,1,0,1,0,2,49,810.0
smart world orchard,2.0,sector 61,1550.0,12903.0,Carpet area: 1640 (152.36 sq.m.),3,3,3,2.0,,Under Construction,,,,1640.0,0,0,1,0,0,1,16,4301.0
independent,3.55,sector 46,24500.0,1449.0,Plot area 161(134.62 sq.m.),5,4,3+,3.0,North-West,Moderately Old,house,,1449.0,,0,1,0,0,0,2,73,289.8
independent,2.25,sector 13,6944.0,3240.0,Carpet area: 360 (301.01 sq.m.),10,10,2,1.0,East,Undefined,house,,,360.0,0,0,0,0,0,1,0,324.0
dlf alameda,17.0,sector 73,35109.0,4842.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,house,,9000.0,,1,1,1,1,0,0,87,968.4
