society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ambience creacions,6.0,sector 22,20533.0,29221.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,,3000.0,0,1,0,1,0,2,49
m3m woodshire,1.0,sector 107,7496.0,13340.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2,2,3,0.0,North-East,Relatively New,,1534.0,,1056.0,1,0,0,0,0,1,29
satya the legend,9.25,sector 57,16577.0,5580.0,Plot area 642(536.79 sq.m.)Built Up area: 630 sq.yards (526.76 sq.m.)Carpet area: 620 sq.yards (518.4 sq.m.),5,5,3+,4.0,North-East,Relatively New,house,,630.0,620.0,1,1,1,1,0,2,160
vatika gurgaon,0.07,sector 83,6265.0,1117.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.),2,2,2,3.0,South-East,Relatively New,,1245.0,850.0,790.0,1,0,0,1,0,2,165
dlf the arbour,8.5,sector 63,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,3+,27.0,,Undefined,house,,3950.0,,0,0,0,0,0,1,61
m3m golfestate,1.0,sector 79,10000.0,10000.0,Carpet area: 1400 (130.06 sq.m.),2,2,2,4.0,East,Undefined,,,,1400.0,1,1,1,0,0,0,83
bajrang apartments,0.03,sector 6,4470.0,671.0,Carpet area: 850 (78.97 sq.m.),2,2,2,1.0,,Moderately Old,,,,850.0,0,0,0,0,0,1,0
signature global city 81,0.75,sector 81,6849.0,1095.0,Plot area 1095(101.73 sq.m.),3,2,3,4.0,East,Under Construction,house,,1095.0,,1,0,0,0,0,1,97
microtek greenburg,1.0,sector 86,8446.0,11840.0,Super Built up area 2285(212.28 sq.m.),3,4,3,12.0,East,Relatively New,,2285.0,,,0,1,0,0,0,1,72
smart world orchard,2.0,sector 61,14785.0,13527.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2.0,East,New Property,,,1630.0,1625.0,0,0,0,0,0,2,61
signature global park,0.05,sohna road,6690.0,747.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,East,Undefined,,,,822.0,0,0,0,0,0,1,58
