society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
indiabulls enigma,3.0,sector 110,1026.0,4,5,3,7.0,Relatively New,flat,3077.0,0,1,0,0,0,1,165
independent,3.5,sector 9,13410.0,9,9,3+,3.0,Relatively New,house,2610.0,1,0,0,0,0,1,23
vatika independent floors,0.06,sector 82,583.0,2,2,3,2.0,Moderately Old,flat,1150.0,0,0,0,0,0,1,53
independent,0.53,sector 7,5889.0,2,2,0,1.0,Old Property,house,900.0,0,0,0,0,0,1,0
independent,5.1,sector 23,16569.0,3,2,0,1.0,Old Property,house,3078.0,0,0,0,0,1,1,27
signature global the millennia,0.06,sector 37d,1091.0,2,2,3,0.0,New Property,flat,625.0,0,0,0,0,0,1,40
ats tourmaline,1.0,sector 109,814.0,3,4,3+,9.0,Relatively New,flat,1946.0,0,1,0,0,0,1,94
microtek greenburg,1.0,sector 86,831.0,2,2,3,13.0,Relatively New,flat,1339.0,1,0,0,0,0,1,6
orchid island,0.07,sector 51,789.0,2,2,1,4.0,Relatively New,flat,1007.0,0,0,0,0,0,1,23
smart world gems,0.08,sector 89,780.0,2,3,2,4.0,New Property,flat,1226.0,1,1,0,1,0,2,72
sidhartha ncr one,0.05,sector 95,556.0,2,2,3,15.0,Relatively New,flat,990.0,0,0,0,0,0,1,0
experion windchants,5.0,sector 112,1153.0,4,6,3+,15.0,Moderately Old,flat,3662.34,0,1,0,0,0,2,157
emaar mgf palm hills,1.0,sector 77,950.0,3,4,3+,6.0,New Property,flat,1582.0,0,1,0,0,0,2,42
siddhi vinayak apartments,1.0,sector 55,960.0,3,3,2,6.0,Moderately Old,flat,1700.0,0,0,0,0,1,2,47
signature global city 92,0.07,sector 92,805.0,2,2,2,2.0,New Property,flat,1083.0,0,0,0,0,0,2,47
ardee city,1.0,sector 52,738.0,4,4,3,1.0,Moderately Old,flat,2100.0,0,0,0,0,0,1,0
independent,10.5,sector 25,29022.0,5,5,3,3.0,Moderately Old,house,3618.0,1,1,0,1,0,1,42
rof ananda,0.03,sector 95,589.0,2,2,2,5.0,Relatively New,flat,716.0,1,0,0,0,0,1,83
suncity avenue,0.04,sector 102,903.0,2,2,1,5.0,Relatively New,flat,582.0,0,0,1,0,0,1,159
dlf new town heights,1.0,sector 90,864.0,3,4,3+,0.0,Old Property,flat,1608.0,0,1,0,0,0,0,31
unitech espace,11.0,sector 50,40741.0,4,4,3+,2.0,Moderately Old,house,2700.0,0,1,0,0,0,2,88
dlf city plots,12.5,sector 26,38580.0,4,5,2,2.0,Moderately Old,house,3240.0,1,1,0,0,0,2,121
shree vardhman flora,0.06,sector 90,508.0,2,2,3,4.0,Relatively New,flat,1122.0,1,0,0,0,0,1,119
vatika lifestyle homes,1.0,sector 83,821.0,3,3,1,7.0,Moderately Old,flat,1607.0,0,0,0,0,0,2,95
independent,7.3,sector 25,1560.0,9,9,2,3.0,Relatively New,house,5800.0,0,1,1,0,0,2,109
ramprastha primera,1.0,sector 37d,611.0,3,3,3,6.0,Relatively New,flat,1700.0,0,0,0,0,0,1,149
bptp astaire gardens,1.04,sector 70a,7172.0,3,3,3+,2.0,Relatively New,house,1611.0,0,0,0,0,1,2,145
bestech park view grand spa,2.0,sector 81,883.0,3,4,3+,6.0,Relatively New,flat,2513.0,0,1,0,0,0,2,101
ireo the grand arch,3.0,sector 58,2158.0,3,4,2,10.0,Relatively New,flat,2000.0,1,1,0,0,0,2,174
shree vardhman flora,0.06,sector 90,496.0,2,2,3,11.0,Relatively New,flat,1225.0,1,0,0,0,0,2,49
pioneer araya,8.0,sector 62,1951.0,4,6,3,16.0,Relatively New,flat,3872.0,0,1,0,1,0,1,153
ansal sushant lok plots,5.8,sector 43,29974.0,6,6,3,2.0,Relatively New,house,1935.0,0,1,0,0,1,2,49
parsvnath exotica,5.0,sector 53,1724.0,3,4,3,7.0,Old Property,flat,3222.0,0,1,0,0,0,2,24
emaar mgf marbella,12.0,sector 66,38095.0,5,6,3+,3.0,Relatively New,house,3150.0,0,1,1,0,0,2,153
independent,1.0,sector 6,4630.0,6,4,0,3.0,Moderately Old,house,240.0,0,0,0,0,0,1,0
signature global park,0.85,sohna road,7589.0,3,2,2,1.0,Under Construction,house,1120.0,0,0,0,0,0,1,15
mvn athens,0.02,sohna road,466.0,1,1,1,11.0,New Property,flat,500.0,0,0,0,0,0,1,16
spaze privvy the address,1.0,sector 93,803.0,3,4,2,12.0,Relatively New,flat,1350.0,0,0,0,0,0,2,96
divya apartments,0.06,sector 6,759.0,2,2,0,2.0,Relatively New,flat,790.0,0,0,0,0,0,2,15
vatika gurgaon,1.0,sector 83,631.0,3,3,2,12.0,Moderately Old,flat,1700.0,0,1,0,0,0,1,95
bptp astaire gardens,6.5,sector 70a,27873.0,4,4,3+,2.0,New Property,house,2332.0,1,1,0,1,0,2,160
vipul world,1.0,sector 48,948.0,3,3,1,2.0,Relatively New,flat,1611.0,0,0,0,0,0,1,60
